Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
BMW,320i,COMPACT,0.14666666666666667,0.07692307692307693,AS8,Z,0.21969696969696967,0.15060240963855417,0.1954545454545455,0.396551724137931,0.24413145539906103
MINI,COOPER CONVERTIBLE,MINICOMPACT,0.09333333333333335,0.07692307692307693,M6,Z,0.16666666666666663,0.16867469879518068,0.1681818181818182,0.4310344827586207,0.19483568075117372
INFINITI,Q50 AWD,MID-SIZE,0.28,0.23076923076923078,AS7,Z,0.31439393939393934,0.2831325301204818,0.3045454545454546,0.25862068965517243,0.37089201877934275
PORSCHE,911 TARGA 4S,MINICOMPACT,0.28,0.23076923076923078,M7,Z,0.303030303030303,0.2710843373493975,0.29090909090909095,0.27586206896551724,0.352112676056338
PORSCHE,911 Carrera 4 GTS Cabriolet,MINICOMPACT,0.28,0.23076923076923078,AM7,Z,0.29166666666666663,0.3192771084337349,0.3,0.25862068965517243,0.3615023474178404
ACURA,MDX HYBRID AWD,SUV - SMALL,0.28,0.23076923076923078,AM7,Z,0.18560606060606055,0.3012048192771084,0.22272727272727277,0.3448275862068965,0.2676056338028169
VOLKSWAGEN,TIGUAN,SUV - SMALL,0.14666666666666667,0.07692307692307693,AS6,Z,0.2765151515151515,0.3192771084337349,0.29090909090909095,0.27586206896551724,0.34272300469483563
CHEVROLET,Colorado,PICKUP TRUCK - SMALL,0.2533333333333333,0.07692307692307693,A6,D,0.28787878787878785,0.23493975903614459,0.27272727272727276,0.29310344827586204,0.4084507042253521
JAGUAR,XFR-S,MID-SIZE,0.5466666666666666,0.38461538461538464,AS8,Z,0.43560606060606055,0.37951807228915657,0.41363636363636364,0.1724137931034483,0.488262910798122
CHEVROLET,SONIC,COMPACT,0.06666666666666665,0.07692307692307693,AS6,X,0.18181818181818177,0.16867469879518068,0.1772727272727273,0.41379310344827586,0.20657276995305165
MAZDA,CX-5 4WD,SUV - SMALL,0.14666666666666667,0.07692307692307693,AS6,X,0.19318181818181818,0.21686746987951802,0.2,0.37931034482758624,0.23474178403755872
BMW,428i xDRIVE GRAN COUPE,COMPACT,0.14666666666666667,0.07692307692307693,AS8,Z,0.24242424242424238,0.19277108433734938,0.2272727272727273,0.3448275862068965,0.26525821596244137
FIAT,500 ABARTH CABRIO,MINICOMPACT,0.06666666666666665,0.07692307692307693,M5,X,0.16287878787878785,0.1867469879518072,0.17272727272727278,0.4310344827586207,0.21126760563380284
FORD,EcoSport,SUV - SMALL,0.013333333333333336,0.0,AS6,X,0.16666666666666663,0.24698795180722885,0.1954545454545455,0.396551724137931,0.23708920187793428
BMW,230i COUPE,SUBCOMPACT,0.14666666666666667,0.07692307692307693,M6,Z,0.2613636363636363,0.1987951807228915,0.24090909090909096,0.32758620689655177,0.28873239436619713
MERCEDES-BENZ,GL 350 BLUETEC 4MATIC,SUV - STANDARD,0.28,0.23076923076923078,AS7,D,0.35606060606060597,0.36144578313253006,0.35909090909090907,0.22413793103448276,0.5305164319248826
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,0.3466666666666667,0.23076923076923078,AS6,X,0.34090909090909083,0.4036144578313252,0.3636363636363637,0.20689655172413796,0.43896713615023475
INFINITI,QX60,SUV - SMALL,0.3466666666666667,0.23076923076923078,AV7,Z,0.29166666666666663,0.28915662650602403,0.29090909090909095,0.27586206896551724,0.352112676056338
NISSAN,370Z Roadster,TWO-SEATER,0.37333333333333335,0.23076923076923078,M6,Z,0.35606060606060597,0.34337349397590355,0.35000000000000003,0.22413793103448276,0.4295774647887324
